epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.64791,0.05407,16.7717,0.03995,0,0,0,0,0.00865,12.1387,0.00492,4e-05,4e-05,4e-05
2,4.59563,0.40238,16.4094,0.32876,0,0,0,0,0.0086,12.1465,0.0049,9.901e-05,9.901e-05,9.901e-05
3,6.95453,0.21238,16.0368,0.20135,0,0,0,0,0.00855,12.1408,0.00487,0.000156832,0.000156832,0.000156832
4,9.39522,0.11728,15.5971,0.07236,0,0,0,0,0.00848,12.1315,0.00484,0.000213466,0.000213466,0.000213466
5,11.8245,0.30438,15.1932,0.19851,0,0,0,0,0.00837,12.1097,0.00478,0.000268912,0.000268912,0.000268912
6,14.2513,0.62381,14.6565,0.49014,0,0,0,0,0.00828,12.0811,0.00474,0.00032317,0.00032317,0.00032317
7,16.601,0.19239,13.999,0.12047,0,0,0,0,0.0081,12.0422,0.00464,0.00037624,0.00037624,0.00037624
8,18.9247,0.35215,13.488,0.14856,0,0,0,0,0.00799,12.0098,0.00459,0.000428122,0.000428122,0.000428122
9,21.2992,1.09391,13.4959,0.47258,0,0,0,0,0.00773,11.871,0.00446,0.000478816,0.000478816,0.000478816
10,23.6327,0.26368,12.4719,0.07827,0,0,0,0,0.00759,11.8468,0.00439,0.000528322,0.000528322,0.000528322
11,26.0992,2.79127,13.3255,1.47122,0,0,0,0,0.00724,11.7146,0.00421,0.00057664,0.00057664,0.00057664
12,28.4379,5.52686,8.46562,2.56746,0,0,0,0,0.00698,11.5513,0.00407,0.00062377,0.00062377,0.00062377
13,31.0158,4.36803,8.63786,2.12573,0,0,0,0,0.0063,10.8725,0.0037,0.000669712,0.000669712,0.000669712
14,33.514,3.85204,6.81019,1.98014,0,0,0,0,0.00597,10.4082,0.00352,0.000714466,0.000714466,0.000714466
15,36.0395,3.81578,4.36069,1.98597,0,0,0,0,0.00509,9.06419,0.00302,0.000758032,0.000758032,0.000758032
16,38.5114,4.84702,5.4668,2.10362,0,0,0,0,0.00459,8.2991,0.00274,0.00080041,0.00080041,0.00080041
17,41.0202,4.08177,3.59574,1.80134,0,0,0,0,0.00366,7.00886,0.00221,0.0008416,0.0008416,0.0008416
18,43.5139,3.87641,2.71366,1.58221,0,0,0,0,0.00328,6.37861,0.00199,0.000881602,0.000881602,0.000881602
19,45.991,3.76834,2.49719,1.69641,0,0,0,0,0.00291,5.92831,0.00178,0.000920416,0.000920416,0.000920416
20,48.4903,4.25136,2.85105,1.71562,0,0,0,0,0.00263,5.76776,0.00163,0.000958042,0.000958042,0.000958042
21,51.0314,4.05578,2.41295,1.47393,0,0,0,0,0.00247,5.7091,0.00153,0.00099448,0.00099448,0.00099448
22,53.5653,3.88991,2.39324,1.49466,0,0,0,0,0.00236,5.82416,0.00147,0.00102973,0.00102973,0.00102973
23,56.0616,3.97199,2.06616,1.47742,0,0,0,0,0.0022,6.00249,0.00138,0.00106379,0.00106379,0.00106379
24,58.6221,3.62006,2.1142,1.38772,0,0,0,0,0.00218,6.34597,0.00137,0.00109667,0.00109667,0.00109667
25,61.1595,3.58557,2.06145,1.30444,0,0,0,0,0.0023,6.80011,0.00144,0.00112835,0.00112835,0.00112835
26,63.6921,3.61816,2.01824,1.39696,0,0,0,0,0.00227,7.11254,0.00143,0.00115885,0.00115885,0.00115885
27,66.3319,3.18483,1.76731,1.20609,0,0,0,0,0.00202,7.2791,0.00128,0.00118816,0.00118816,0.00118816
28,68.8826,3.65787,1.88145,1.21704,0,0,0,0,0.00182,7.36958,0.00117,0.00121628,0.00121628,0.00121628
29,71.4045,3.3795,1.78866,1.15176,0,0,0,0,0.00182,7.36958,0.00117,0.00124322,0.00124322,0.00124322
30,73.954,3.53193,1.70718,1.14448,0,0,0,0,0.00186,7.54061,0.0012,0.00126896,0.00126896,0.00126896
31,76.4949,3.25064,1.64131,1.16048,0,0,0,0,0.00181,7.59296,0.00116,0.00129352,0.00129352,0.00129352
32,79.0719,3.33243,1.75316,1.14289,0,0,0,0,0.00188,7.66291,0.0012,0.00131689,0.00131689,0.00131689
33,81.6033,3.21651,1.64178,1.13138,0,0,0,0,0.00188,7.66291,0.0012,0.00133907,0.00133907,0.00133907
34,84.1683,3.02762,1.54406,1.10446,0,0,0,0,0.00185,7.55298,0.00118,0.0013466,0.0013466,0.0013466
35,86.7392,3.09295,1.62567,1.12364,0,0,0,0,0.00202,7.4289,0.00128,0.0013268,0.0013268,0.0013268
36,89.3674,3.20253,1.72808,1.17162,0,0,0,0,0.00226,7.24093,0.00141,0.001307,0.001307,0.001307
37,91.9555,3.17522,1.62101,1.10496,0,0,0,0,0.00226,7.24093,0.00141,0.0012872,0.0012872,0.0012872
38,94.5817,3.14081,1.59556,1.12548,0,0,0,0,0.00239,6.92073,0.00148,0.0012674,0.0012674,0.0012674
39,97.1968,3.03018,1.55618,1.12611,0,0,0,0,0.00339,6.51244,0.00201,0.0012476,0.0012476,0.0012476
40,99.8156,3.09444,1.58937,1.07834,0,0,0,0,0.03841,6.25194,0.01862,0.0012278,0.0012278,0.0012278
41,102.367,3.00786,1.59293,1.11909,0,0,0,0,0.03841,6.25194,0.01862,0.001208,0.001208,0.001208
42,105.061,2.94508,1.68726,1.10499,0,0,0,0,2.60508,7.49291,1.16166,0.0011882,0.0011882,0.0011882
43,107.706,2.88534,1.43622,1.0038,0.01462,0.02857,0.01339,0.00134,4.08589,5.68959,2.28114,0.0011684,0.0011684,0.0011684
44,110.387,2.98012,1.67079,1.14496,0.28355,0.0243,0.03072,0.00775,2.99356,5.13558,1.93766,0.0011486,0.0011486,0.0011486
45,113.159,2.86854,1.53033,1.08045,0.28355,0.0243,0.03072,0.00775,2.99356,5.13558,1.93766,0.0011288,0.0011288,0.0011288
46,115.889,2.66423,1.46264,1.03205,0.21822,0.02494,0.05413,0.01161,3.46506,3.95042,1.74632,0.001109,0.001109,0.001109
47,118.651,2.95832,1.50019,1.06815,0.28317,0.11429,0.0531,0.01159,3.77909,2.98129,1.43164,0.0010892,0.0010892,0.0010892
48,121.383,2.77996,1.52692,1.05698,0.29245,0.13036,0.12661,0.04046,3.2786,2.479,1.27397,0.0010694,0.0010694,0.0010694
49,124.057,2.95182,1.55837,1.05358,0.29245,0.13036,0.12661,0.04046,3.2786,2.479,1.27397,0.0010496,0.0010496,0.0010496
50,126.775,2.71684,1.37228,1.02646,0.37611,0.25714,0.19011,0.04589,3.28523,2.20665,1.17791,0.0010298,0.0010298,0.0010298
51,129.542,3.13641,1.69733,1.14713,0.40028,0.37143,0.21371,0.06347,3.06909,2.01765,1.12432,0.00101,0.00101,0.00101
52,132.354,2.66456,1.40798,0.9931,0.47329,0.43662,0.31316,0.07854,3.09959,1.85312,1.07877,0.0009902,0.0009902,0.0009902
53,135.085,2.84382,1.46854,1.05373,0.47329,0.43662,0.31316,0.07854,3.09959,1.85312,1.07877,0.0009704,0.0009704,0.0009704
54,137.953,2.71032,1.36839,1.00732,0.47451,0.51603,0.3192,0.09389,2.88612,1.73342,1.06153,0.0009506,0.0009506,0.0009506
55,140.773,2.71249,1.41476,1.04404,0.46147,0.48571,0.3825,0.10568,2.86303,1.6744,1.04411,0.0009308,0.0009308,0.0009308
56,143.57,2.86826,1.44894,1.05432,0.42374,0.54286,0.33288,0.10023,2.90516,1.67741,1.04099,0.000911,0.000911,0.000911
57,146.312,2.61438,1.39035,0.99756,0.42374,0.54286,0.33288,0.10023,2.90516,1.67741,1.04099,0.0008912,0.0008912,0.0008912
58,149.149,2.68181,1.40828,0.99384,0.42068,0.57143,0.35316,0.10437,2.76903,1.64821,1.03196,0.0008714,0.0008714,0.0008714
59,152.072,2.6796,1.49263,1.0319,0.50224,0.62857,0.43592,0.12084,2.66388,1.60477,0.9912,0.0008516,0.0008516,0.0008516
60,155.032,2.9173,1.48528,1.0318,0.61824,0.64794,0.57695,0.14812,2.59935,1.5566,0.96509,0.0008318,0.0008318,0.0008318
61,158.451,2.67204,1.45021,1.04668,0.61824,0.64794,0.57695,0.14812,2.59935,1.5566,0.96509,0.000812,0.000812,0.000812
62,163.515,2.58038,1.34894,0.97917,0.64257,0.6,0.58611,0.18233,2.4723,1.5014,0.94123,0.0007922,0.0007922,0.0007922
63,166.477,2.63753,1.39778,1.0072,0.69732,0.54286,0.57787,0.18807,2.37045,1.50142,0.92415,0.0007724,0.0007724,0.0007724
64,169.513,2.70099,1.27248,1.00156,0.71136,0.56354,0.58023,0.18466,2.31667,1.48254,0.91279,0.0007526,0.0007526,0.0007526
65,172.588,2.71742,1.32613,1.01611,0.71136,0.56354,0.58023,0.18466,2.31667,1.48254,0.91279,0.0007328,0.0007328,0.0007328
