epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2198.2,1.61724,0.73277,0.89015,0.82672,0.72601,0.84945,0.45612,1.5961,0.76966,0.86188,0.0011684,0.0011684,0.0011684
44,2251.93,1.59486,0.71023,0.87801,0.80218,0.74901,0.83709,0.47887,1.47452,0.76852,0.86373,0.0011486,0.0011486,0.0011486
45,2302.78,1.54758,0.70221,0.88239,0.82209,0.73511,0.85195,0.4827,1.5313,0.74163,0.86063,0.0011288,0.0011288,0.0011288
46,2358.91,1.54059,0.69002,0.88233,0.844,0.74704,0.86264,0.49051,1.48058,0.75833,0.85435,0.001109,0.001109,0.001109
47,2413.59,1.54624,0.6861,0.87076,0.83058,0.7315,0.85468,0.49868,1.45165,0.65384,0.85301,0.0010892,0.0010892,0.0010892
48,2465.17,1.54918,0.68453,0.87998,0.81284,0.75198,0.86132,0.49035,1.54111,0.6807,0.85118,0.0010694,0.0010694,0.0010694
49,2518.21,1.51036,0.68617,0.8772,0.79982,0.74209,0.8345,0.465,1.55816,0.69839,0.86405,0.0010496,0.0010496,0.0010496
50,2570.62,1.51326,0.68694,0.87843,0.82175,0.75623,0.86277,0.51396,1.38429,0.69791,0.84721,0.0010298,0.0010298,0.0010298
51,2622.65,1.49046,0.66768,0.86966,0.84502,0.73276,0.8566,0.51412,1.4085,0.66525,0.84674,0.00101,0.00101,0.00101
52,2676.43,1.5055,0.65824,0.87454,0.80985,0.76482,0.85503,0.50436,1.46361,0.69401,0.85453,0.0009902,0.0009902,0.0009902
53,2729.82,1.4839,0.66595,0.86786,0.8492,0.73024,0.86054,0.50457,1.44069,0.66984,0.8496,0.0009704,0.0009704,0.0009704
54,2780.79,1.49625,0.68347,0.86736,0.83077,0.73733,0.85161,0.48761,1.42116,0.76848,0.85275,0.0009506,0.0009506,0.0009506
55,2834.77,1.46439,0.66124,0.87333,0.82894,0.75177,0.8612,0.49063,1.46694,0.77524,0.85128,0.0009308,0.0009308,0.0009308
56,2889.78,1.50608,0.68912,0.87727,0.87406,0.69265,0.82615,0.47805,1.42296,0.6667,0.85022,0.000911,0.000911,0.000911
57,2941.63,1.45828,0.66116,0.867,0.86439,0.73913,0.87139,0.52604,1.38203,0.673,0.84684,0.0008912,0.0008912,0.0008912
58,2993.48,1.50214,0.68783,0.8677,0.8305,0.76014,0.87006,0.50192,1.50391,0.70885,0.85134,0.0008714,0.0008714,0.0008714
59,3046.44,1.48296,0.6645,0.86492,0.8596,0.75018,0.86868,0.516,1.39009,0.67295,0.85062,0.0008516,0.0008516,0.0008516
60,3100.11,1.50066,0.66577,0.86965,0.83356,0.73736,0.84598,0.49185,1.4501,0.73396,0.85092,0.0008318,0.0008318,0.0008318
61,3153.31,1.46597,0.65978,0.86997,0.82333,0.76581,0.86653,0.51746,1.41513,0.64712,0.84707,0.000812,0.000812,0.000812
62,3205.21,1.464,0.63992,0.86707,0.85517,0.72233,0.85957,0.52574,1.35701,0.6251,0.84539,0.0007922,0.0007922,0.0007922
63,3258.19,1.48577,0.66838,0.86832,0.86152,0.74012,0.86719,0.52583,1.3511,0.63224,0.84608,0.0007724,0.0007724,0.0007724
64,3312.41,1.47751,0.65345,0.86952,0.84914,0.74802,0.86049,0.52844,1.34139,0.6636,0.84264,0.0007526,0.0007526,0.0007526
65,3367.08,1.43013,0.64587,0.86071,0.83537,0.74407,0.86818,0.53601,1.32184,0.65703,0.84563,0.0007328,0.0007328,0.0007328
66,3420.52,1.44661,0.65397,0.86816,0.84031,0.74877,0.86787,0.52306,1.35274,0.67101,0.8481,0.000713,0.000713,0.000713
67,3472.9,1.43653,0.63454,0.86514,0.84768,0.72332,0.85133,0.51617,1.34655,0.66578,0.84529,0.0006932,0.0006932,0.0006932
68,3527.31,1.45963,0.66278,0.87058,0.85954,0.73775,0.86712,0.52823,1.34328,0.60879,0.84605,0.0006734,0.0006734,0.0006734
69,3580.44,1.43642,0.64056,0.8711,0.85485,0.73326,0.85394,0.50944,1.3869,0.64099,0.84757,0.0006536,0.0006536,0.0006536
70,3633.73,1.40279,0.6297,0.85611,0.83982,0.73049,0.85934,0.51523,1.41308,0.62703,0.85085,0.0006338,0.0006338,0.0006338
